x,World,Asia,Africa,Europe,North America,South America,Oceania
-5154.9,36101599,15260012,15816595,8770139,0,0,0
-5136.5,36266371,15345839,15904530,8831383,0,0,0
-5118.1,36431143,15431666,15992465,8892627,0,0,0
-5099.7,36595915,15517493,16080400,8953871,0,0,0
-5081.3,36760688,15603320,16168335,9015115,0,0,0
-5062.9,36925460,15689147,16256270,9076359,0,0,0
-5044.6,37090232,15774973,16344205,9137603,0,0,0
-5026.2,37255004,15860800,16432140,9198847,0,0,0
-5007.8,37419777,15946627,16520076,9260091,0,0,0
-4989.4,37584549,16032454,16608011,9321335,0,0,0
-4971.0,37749321,16118281,16695946,9382579,0,0,0
-4952.6,37914093,16204108,16783881,9443823,0,0,0
-4934.3,38078865,16289935,16871816,9505067,0,0,0
-4915.9,38243638,16375761,16959751,9566311,0,0,0
-4897.5,38408410,16461588,17047686,9627555,0,0,0
-4879.1,38573182,16547415,17135621,9688799,0,0,0
-4860.7,38737954,16633242,17223556,9750043,0,0,0
-4842.3,38902727,16719069,17311492,9811287,0,0,0
-4824.0,39067499,16804896,17399427,9872531,0,0,0
-4805.6,39232271,16890722,17487362,9933775,0,0,0
-4787.2,39397043,16976549,17575297,9995019,0,0,0
-4768.8,39561816,17062376,17663232,10056263,0,0,0
-4750.4,39726588,17148203,17751167,10117507,0,0,0
-4732.0,39891360,17234030,17839102,10178751,0,0,0
-4713.7,40056132,17319857,17927037,10239995,0,0,0
-4695.3,40220905,17405683,18014972,10301239,0,0,0
-4676.9,40385677,17491510,18102908,10362483,0,0,0
-4658.5,40550449,17577337,18190843,10423727,0,0,0
-4640.1,40715221,17663164,18278778,10484971,0,0,0
-4621.7,40879994,17748991,18366713,10546215,0,0,0
-4603.4,41044766,17834818,18454648,10607459,0,0,0
-4585.0,41209538,17920645,18542583,10668703,0,0,0
-4566.6,41374310,18006471,18630518,10729947,0,0,0
-4548.2,41539083,18092298,18718453,10791191,0,0,0
-4529.8,41703855,18178125,18806388,10852435,0,0,0
-4511.4,41868627,18263952,18894323,10913679,0,0,0
-4493.1,42033399,18349779,18982259,10974923,0,0,0
-4474.7,42198172,18435606,19070194,11036167,0,0,0
-4456.3,42362944,18521432,19158129,11097411,0,0,0
-4437.9,42527716,18607259,19246064,11158655,0,0,0
-4419.5,42692488,18693086,19333999,11219899,0,0,0
-4401.1,42857261,18778913,19421934,11281143,0,0,0
-4382.8,43022033,18864740,19509869,11342387,0,0,0
-4364.4,43186805,18950567,19597804,11403631,0,0,0
-4346.0,43351577,19036393,19685739,11464875,0,0,0
-4327.6,43516350,19122220,19773675,11526119,0,0,0
-4309.2,43681122,19208047,19861610,11587363,0,0,0
-4290.8,43845894,19293874,19949545,11648606,0,0,0
-4272.5,44010666,19379701,20037480,11709850,0,0,0
-4254.1,44175439,19465528,20125415,11771094,0,0,0
-4235.7,44340211,19551354,20213350,11832338,0,0,0
-4217.3,44504983,19637181,20301285,11893582,0,0,0
-4198.9,44669755,19723008,20389220,11954826,0,0,0
-4180.5,44834527,19808835,20477155,12016070,0,0,0
-4162.2,44999300,19894662,20565091,12077314,0,0,0
-4143.8,45164072,19980489,20653026,12138558,0,0,0
-4125.4,45328844,20066316,20740961,12199802,0,0,0
-4107.0,45493616,20152142,20828896,12261046,0,0,0
-4088.6,45658389,20237969,20916831,12322290,0,0,0
-4070.2,45823161,20323796,21004766,12383534,0,0,0
-4051.9,45987933,20409623,21092701,12444778,0,0,0
-4033.5,46152705,20495450,21180636,12506022,0,0,0
-4015.1,46317478,20581277,21268571,12567266,0,0,0
-3996.7,46482250,20667103,21356507,12628510,0,0,0
-3978.3,46647022,20752930,21444442,12689754,0,0,0
-3959.9,46811794,20838757,21532377,12750998,0,0,0
-3941.6,46976567,20924584,21620312,12812242,0,0,0
-3923.2,47141339,21010411,21708247,12873486,0,0,0
-3904.8,47306111,21096238,21796182,12934730,0,0,0
-3886.4,47470883,21182064,21884117,12995974,0,0,0
-3868.0,47635656,21267891,21972052,13057218,0,0,0
